BLUE PLAQUE DATABASE - NOKIA MAPS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Version #  >>,,39,   Please update the version number everytime an updated doc is sent to PaperSeven,,,,,,,,,,,,
Shared plaque,,,,,,,,,,,,,,,
Example Dataset,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Plaque GPS Reference,Plaque GPS Reference,Plaque Category 1,Plaque Category 2,Plaque Information 1,Plaque information 2,Plaque Info,Plaque More Info,
20,Sir,Edward C.,Burne-Jones,1833-1898,41 Kensington Square,South Kensington,[LEAVE BLANK],[LEAVE BLANK],Broad Category,Broad Category,Information ,Information,Sir Edward Burne-Jones 1833-1898 artist lived here 1865-1867,http://en.wikipedia.org/wiki/Edward_Burne-Jones,
This is ref only - not visible to user,Leave blank if nothing specific,Include middle names where relevant,,No need to include brackets,,No postcode needed,PaperSeven to source,PaperSeven to source,To be defined by Build ,Only use if subject sits in more than 1 category,Only use if subject sits in more than 1 category,,,Website URL e.g. Wikipedia link,
,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Latitude,Longitude,Plaque Category 1,Plaque Category 2,Plaque Category 3,,Plaque Info,Plaque More Info,Plaque More Info
40,,Mary,Kingsley,1862-1900,22 Southwood Lane,Highgate,51.57238,-0.1489,Science & Engineering,,Traveller,Ethnologist,Mary Kingsley (1862-1900) Traveller and ethnologist lived here as a child,http://en.wikipedia.org/wiki/Mary_Kingsley,"Mary Henrietta Kingsley was an English writer and pioneering explorer of west Africa, who greatly influenced European ideas about Africa and African people. Having lived a sheltered life and never marrying, Kingsley travelled to west Africa after the death of her father, George Kingsley. It was highly unusual for a woman of Kingsley's race, age and gender to embark on such a dangerous journey unaccompanied, and despite several close encounters with crocodiles, cannibalistic tribesmen and disease Kingsley's publications and lectures were remarkably modest. She made a significant impact on ideas of the colonialism of Africa. ",
41,,HG,Wells,1866-1946,13 Hanover Terrace,Regent's Park,51.5279,-0.1632,Arts,,Writer,,H.G. Wells (1866-1946) Writer lived and died here,http://en.wikipedia.org/wiki/HG_Wells,"HG Wells was an English author who is widely regarded as one of the founders of modern science fiction.  His background in sciences (he studied biology and was a science teacher) together with his interest in socialist ideas were formative themes in his writings. His novels include  'The Time Machine' (1895), 'The Island of Doctor Moreau' (1896), and 'The War of the Worlds' (1898) which is probably his best known. His intellectually provocative stories touched on the changes in the meaning of human life, informed by dramatic social and industrial changes of the time, but set far in the future, and have influenced popular culture ever since their first publication. ",
42,,Mahatma,Gandhi,1869-1948,"Kingsley Hall, Powis Road",Bromley-by-Bow,51.5265,-0.014527,Politics,,Campaigner,,Mahatma Gandhi (1869-1948) stayed here in 1931,http://en.wikipedia.org/wiki/Gandhi,"Mohandas Karamchand Gandhi, more often referred to as Mahatma Gandhi, was a lawyer and the political and ideological leader of India during the Indian independence movement. Gandhi's model of non-violent fight for civil rights and freedom, that he called 'satyagraha', inspired movements across the world. Gaandi stayed here in 1931 during negotiations between the British government and the Indian nation, when he was the sole representative of the Indian National Congress. The Gandhi-Irwin pact (Lord Irwin was then Viceroy of India) was signed in March 1931, with Gandhi agreeing to end the civil disobedience movement.",
43,,John McDouall,Stuart,1815-1866,9 Campden Hill Square,Holland Park,51.5073,-0.201568,Explorer,,Explorer,,John McDouall Stuart (1815-1866) First Explorer to cross Australia lived and died here,http://en.wikipedia.org/wiki/John_McDouall_Stuart,"John McDouall Stuart was a Scottish explorer, and the first man to successfully lead an expedition across the Australian mainland. Stuart trained as civil engineer before emigrating to Australia in 1838. He led a total of six expeditions, completing the first successful south to north journey from Adelaide to Darwin in 1862. The town Alice Springs was originally named 'Stuart' in his honour, before being changed in 1933. Stuart died here in London in 1866. ",
44,,Robert Falcon,Scott,1868-1912,56 Oakley Street,Chelsea,51.48393,-0.16752,Explorer,,Explorer,,Robert Falcon Scott (1868-1912) Antarctic explorer lived here,http://en.wikipedia.org/wiki/Robert_Falcon_Scott,"Robert Falcon Scott was a Royal Navy officer and explorer who famously led two scientific expeditions to the Antarctic regions: the Discovery Expedition of 1901-04, and the ill-fated Terra Nova Expedition of 1910-13. During this second venture, Scott's party reached the South Pole on 17 January 1912, only to find that they had been beaten by Roald Amundsen's Norwegian expedition. On their return journey, Scott and his four comrades all perished from a combination of exhaustion, starvation and extreme cold, only a few miles short of crucial supplies. Scott's exploration of the Antarctic has made his name synonymous with the region, and he is regarded today as a brave and stoic leader. ",
45,,Edward Adrian,Wilson,1872-1912,"Battersea Vicarage, 42 Vicarage Crescent",Battersea,51.47462,-0.1762,Explorer,Science & Engineering,Explorer,Naturalist,Edward Adrian Wilson (1872-1912) Antarctic explorer and naturalist lived here,http://en.wikipedia.org/wiki/Edward_Adrian_Wilson,"Edward A Wilson was a polar explorer and expedition artist. Wilson travelled on two Antarctic expeditions aboard the Discovery (1901-1904) and on Terra Nova (1910-1912) both under the leadership of Robert Falcon Scott. Wilson joined the Discovery expedition as junior surgeon, zoologist and expedition artist, and he was chief of the scientific staff of Scott's final Terra Nova expedition. Wilson was the confidant of many of the men during these trips, respected for his judgement, mediatory skills and dedication to others. He was probably Scott's closest comrade, perishing with him and the other members of the group on the return leg of the Terra Nova, after discovering that Norwayês Amundsen had beaten them to the South Pole.",
46,,John ,Snow,1813-1858,Frith Street,Soho,51.51349,-0.13675,Science & Engineering,,Anaesthetist ,Epidemiologist,Dr John Snow (1813-1858) pioneer anaesthetist and epidemiologist lived in a house on this site.,http://en.wikipedia.org/wiki/John_Snow_(physician),"John Snow was an English physician and a pioneer of anaesthesia and epidemiology. His use of chloroform and ether as surgical anaesthetics, allowed surgical procedures without the distress and pain patients would otherwise experience. He is best known, however, for his work in 1854 in tracing the source of a cholera outbreak in Soho. Snow used a map to illustrate the cluster of cases around a water pump in Broadwick Street (where a memorial pump now stands), and used statistics to illustrate the connection between the water source and the cholera cases. As a result he is considered the founding father of epidemiology, which deals with detection of both the source and cause of epidemics of infectious disease in large populations.",
47,Sir,Charles,Wheatstone,1802-1875,19 Park Crescent,Regent's Park,51.5229,34,Science & Engineering,,Scientist,Inventor,Sir Charles Wheatstone (1802-1875) Scientist and Inventor lived here ,http://en.wikipedia.org/wiki/Charles_Wheatstone,"Sir Charles Wheatstone was an English scientist and inventor, who was responsible for numerous key scientific breakthroughs of the Victorian era. Wheatstone had a keen interest in musical instruments and the science of sound, inventing the English concertina. He also went on to make several significant contributions to optics, notably the stereoscope, to view 3D images, and he is widely credited as the first to make telegraph transmission of messages available to the public. His many innovations were some of the most important of the age, and his influence continues to be felt today. ",
48,Sir,Benjamin,"Thompson, Count Rumford",1753-1814,168 Brompton Road,Knightsbridge,51.498,-0.166833,Science & Engineering,Explorer,Inventor,Adventurer,Sir Benjamin Count Rumford (1753-1814) Inventor and Adventurer lived here,http://en.wikipedia.org/wiki/Benjamin_Thompson,"Sir Benjamin Thompson, Count Rumford was an American-born British physicist and inventor; as a Loyalist he had fled to Britain during the American Revolutionary War. Thompsonês experiments with heat were hugely significant and he was also a prolific inventor, developing a kitchen range, a drip coffeepot and improved candles and oil lamps. His most noted domestic contribution was the Rumford Fireplace, which improved airflow in open fireplaces so removing choking smoke from the home and increasing heating efficiency; it was a hugely popular modification to homes in the 19th century. ",
49,,Dennis,Gabor,1900-1979,79 Queen's Gate,Knightsbridge,51.4944,-0.178905,Science & Engineering,,Physicist,Inventor,Dennis Gabor (1900-1979) Physicist and Inventor of Holography lived here,http://en.wikipedia.org/wiki/Dennis_Gabor,"Dennis Gabor was a Hungarian-British electrical engineer and inventor; he was originally from Budapest and studied in Berlin before fleeing Nazi Germany in 1933. Gabor was a great success as chair of applied electron physics at Imperial College London. His most significant achievement was his invention of holography in 1947, the method to produce holograms, for which he received the Nobel Prize in Physics in 1971. Although it was not until 1961 that its use could be properly realised due to the development of lasers, holography made a remarkable impact on many sciences, arts and commercial products.",
50,,Joseph Aloysius,Hansom,1803-1882,27 Sumner Place,Chelsea,51.49132,-0.17366,Science & Engineering,,Architect,Inventor,"Joseph Aloysius Hansom (1803-1882) Architect, founder-editor of 'The Builder' and inventor of the Hansom Cab lived here",http://en.wikipedia.org/wiki/Joseph_Aloysius_Hansom,"Joseph Aloysius Hansom was a prolific English architect, but he is best known for inventing the Hansom safety cab in 1834. This was an improved horse-drawn (or 'Hackney') carriage that was fast, light and agile, requiring only one horse instead of the usual four. It made a significant impact on London transport, becoming the hire-cab of choice. Later models were fitted with a fare meter, and these were the forerunners to todays black taxis, still known today as Hackney Cabs. Hansom also founded eminent architectural magazine 'The Builder' in 1842, which is still published today.",
51,,Keith ,Moon,1946-1978,90 Wardour Street,Soho,51.51336,-0.133939,Arts,,Musician,,Keith Moon (1946-1978) legendary rock drummer with 'The Who' performed here at the site of the Marquee Club in the 1960s ,http://en.wikipedia.org/wiki/Keith_Moon,"Keith Moon was an English musician, best known as the drummer of the English rock group The Who. He gained acclaim for his exuberant and innovative drumming style, and notoriety for his eccentric and often self-destructive behaviour, earning him the nickname 'Moon the Loon'.  He joined The Who aged 17, and the band quickly gained attention for destroying their onstage equipment at the end of their performances,  and for Moon trashing hotel rooms. Despite his notoriously destructive ways, Moon is widely considered to be the greatest rock drummer of all time. ",
52,,John,Rae,1813-1893,4 Lower Addison Gardens,Holland Park,51.50341,-0.21251,Explorer,,Explorer,,John Rae (1813-1893) Arctic explorer lived and died here ,http://en.wikipedia.org/wiki/John_Rae_(explorer),"John Rae was a Scottish doctor and pioneering Arctic explorer. Rae was adept at travelling light with a small crew and using Inuit techniques of hunting. He became famous, however, for reporting the fate in 1854 of the Franklin Expedition; a naval team that had departed England nine years earlier in search of the final unchartered stretch of Canada's Northwest Passage. The expedition had become became icebound, losing all 128 men, and Raeês report of the stricken crew included evidence of cannibalism. Until then many others had tried unsuccessfully, often fatally, to locate the missing party. Instead of being hailed a hero, his 'outrageous claims' of such desperate behaviour led to Rae being publicly spurned and as a result, he never received any honours.   ",
53,Sir,James Clark,Ross,1800-1862,2 Eliot Place,Blackheath,51.4678,0.000703,Explorer,,Explorer,,Sir James Clark Ross (1800-1862) Polar Explorer lived here ,http://en.wikipedia.org/wiki/Sir_James_Clark_Ross,"Sir James Clark Ross was a British naval officer and polar explorer. In 1827 he was part of the expedition led by his uncle Sir John Ross, which discovered the magnetic North Pole. Ross led numerous expeditions, many in a quest to locate the magnetic South Pole. In this he was unsuccessful, but his explorations of the Antarctic coast led to him charting many land masses and seas, including the Ross Ice Shelf, Ross Sea, James Ross Island, and the volcanoes Mount Erebus and Mount Terror, named after the expedition's vessels. In 1848 he led an unsuccessful attempt to locate the ill-fated Franklin Expedition, which was found six years later.",
54,Sir,Ernest,Shackleton,1874-1922,12 Westwood Hill ,Sydenham,51.4278,-0.058764,Explorer,,Explorer,,Sir Ernest Shackleton (1874-1922) Antarctic Explorer lived here,http://en.wikipedia.org/wiki/Sir_Ernest_Shackleton,"Sir Ernest Henry Shackleton was a famed Anglo-Irish polar explorer. Gaining valuable experience on Robert Scott's Discovery expedition, he commanded three voyages of his own, most famously the 'Imperial Trans-Antarctic Expedition' of 1914-1916, involving the ships Endurance & the Aurora. Crushed by pack-ice, The Endurance was sunk (after the crew abandoned ship), and the Aurora broke free of its moorings, unable to return for men on the shore. The men were scattered, but after several exploits including an 800-mile open-boat journey by Shackleton and a small crew to find help, all the surviving men were eventually rescued. Only 3 men lost their lives during the entire expedition, so ensuring Shackleton's heroic status, for his determination in the face of adversity. ",
55,Sir ,Charles,Lyell,1797-1875,73 Harley Street,Marylebone,51.5197,-0.1473,Science & Engineering,,Geologist,,In a house on this site lived from 1854-1875 Sir Charles Lyell (1797-1875) Geologist and from 1876-1882 W.E. Gladstone Statesman (1809-1898),http://en.wikipedia.org/wiki/Charles_Lyell,"Sir Charles Lyell was a British lawyer and the foremost geologist of his day. He is best known as the author of 'Principles of Geology', which popularised the concepts of uniformitarianism: the idea that the earth was shaped by slow-moving forces. Lyellês book was hugely influential on Charles Darwin, who carried a volume with him on his voyage aboard the Beagle, giving him a revolutionary insight into geological history of the islands he explored. On returning from that voyage, Darwin and Lyell became close friends. Prime Minister William Ewart Gladstone also lived here.",
56,,Thomas,Young,1773-1829,48 Welbeck Street,Marylebone,51.51772,-0.14931,Science & Engineering,,Scientist,Egyptology,Thomas Young (1773-1829) Man of Science lived here ,http://en.wikipedia.org/wiki/Thomas_Young_(scientist),"Thomas Young was an English polymath, scientist and Egyptologist. He is famous for his part-deciphering of Egyptian hieroglyphics (specifically the Rosetta Stone) before Jean-Francois Champollion eventually expanded on his work. Young also made notable contributions to the fields of vision, light, solid mechanics, energy, physiology, language and musical harmony; his work was admired by, among others, the astronomer Herschel, and physicist Albert Einstein. ",
57,Sir,Francis,Beaufort,1774-1857,51 Manchester Street,Marylebone,51.5179,-0.153647,Science & Engineering,,Admiral,Hydrographer,Sir Francis Beaufort (1774-1857) Admiral and Hydrographer lived here,http://en.wikipedia.org/wiki/Sir_Francis_Beaufort,"Rear-Admiral Sir Francis Beaufort was an Irish hydrographer and officer in Britain's Royal Navy. He was shipwrecked at the age of 15, and dedicated the rest of his life to improving the accuracy of sea-charts, to aid those risking their lives at sea. His greatest accomplishments were achieved in nautical charting, particularly in South America. It was during his sea voyages in the navy that Beaufort developed the first versions of his Wind Force Scale and coding, known as the Beaufort scale, and still in use today. ",
58,,James,Smithson,1764-1829,9 Bentinck Street,Marylebone,51.5171,-0.150167,Science & Engineering,,Scientist,,James Smithson (1764-1829) Scientist Founder of the Smithsonian Institution lived here,http://en.wikipedia.org/wiki/James_Smithson,"James Smithson was a British mineralogist and chemist whose place in history is unique, as his fame came almost entirely posthumously. In his will of 1826, Smithson donated his complete and considerable fortune to the government of the United States of America to 'found in Washington under the name of the Smithsonian Institution, an establishment for the increase and diffusion of knowledge among men'. The Smithsonian Institution is now the largest museum complex in the world, with 136 million items in its collections.",
59,Major-General,William,Roy,1726-1790,10 Argyll Street,Soho,51.5147,-0.140827,Science & Engineering,,Scientist,Founder,Major-General William Roy (1726-1790) Founder of the Ordnance Survey lived here,http://en.wikipedia.org/wiki/William_Roy,"Major-General William Roy FRS was a Scottish military engineer, surveyor, and antiquarian. He is credited as founder of the Ordnance Survey, the national mapping agency of Great Britain. In 1747 it was proposed that the Scottish Highlands be surveyed and mapped, and Roy found himself as assistant on this task. His technical ability and innovative approach made him a key member of the team. His abilities and leadership led to a long and illustrious career in the Royal Engineers, with Roy responsible for some of the most important surveys in cartographic history. The Ordnance Survey was founded in 1791, a year after his death.",
60,,Mary ,Shelley,1797-1851,24 Chester Sqaure,Belgravia,51.495051,-0.150349,Arts,,Author,,Mary Shelley (1797-1851) Author of Frankenstein lived here 1846-1851,http://en.wikipedia.org/wiki/Mary_Shelley,"Mary Shelley was an English writer, best known for her Gothic novel 'Frankenstein: or, The Modern Prometheus'. The novel resulted from a competition 'to write the best horror story', held amongst her companions , who included her husband, the noted poet Percy Bysshe Shelley, Lord Byron and John Polidori- all key figures in the Romantic movement. First published anonymously in 1818, as an edition of just 500, it has since been re-published hundreds of times in numerous languages, and has spawned many plays, films and other adaptations. Her father was the political philosopher William Godwin, and her mother was the philosopher and feminist Mary Wollstonecraft. ",
61,Sir,Ambrose,Fleming,1849-1945,9 Clifton Gardens,Maida Vale,51.5239,-0.182951,Science & Engineering,,Scientist,Electrical,Sir Ambrose Fleming (1849-1945) Scientist and Electrical Engineer lived here,http://en.wikipedia.org/wiki/Sir_Ambrose_Fleming,"Sir John Ambrose Fleming was an English electrical engineer and physicist. He was the inventor of the first thermionic valve (or vacuum tube), which was pivotal in the development of electronic technology, and was used in radio receivers and radars for many years after. Fleming was a consultant to some of the most influential businesses of the time including the Marconi Company and the Edison Telephone and Edison Electric light companies. The impact of his innovations can be felt still today: from plasma TVs to radios, and radar to car engines. ",
62,Sir,Isaac,Newton,1642-1727,87 Jermyn Street,St James's,51.5081,-0.137501,Science & Engineering,,Physicist,,Sir Isaac Newton (1642-1727) Lived Here,http://en.wikipedia.org/wiki/Isaac_Newton,"Sir Isaac Newton was an English physicist, mathematician, astronomer, natural philosopher, alchemist, and theologian; he is considered to be one of the greatest and most influential scientists of all time. Newton's theory of gravity, inspired by an apple falling from a tree, was hugely significant and a key idea in the Scientific Revolution. As a young boy, his mother wished for him to be a farmer, but he was persuaded to complete his education by his schoolmaster. Newton lived here in Jermyn Street when appointed warden of the Royal Mint in 1696, and he campaigned against corruption and inefficiency in the organisation. He was also president of the Royal Society, from 1703 until his death. ",
63,,Hertha,Ayrton,1854-1923,41 Norfolk Square,Paddington,51.51621,-0.17266,Science & Engineering,,Physicist,,Hertha Ayrton (1854-1923) Physicist lived here 1903-1923 ,http://en.wikipedia.org/wiki/Hertha_Ayrton,"Hertha Ayrton was an English engineer, mathematician and inventor. Ayrton was educated at Girton College, Cambridge at a time when women were only awarded certificates, not degrees by the college; she gained a degree in 1881 from the University of London. She would assist her husband in his experiments in physics and electricity, which led to her own investigations into the electric arc; she became the first female member of the Institution of Electrical Engineers. In 1902 she was rejected as a fellow of the Royal Society, on the grounds that 'married women were not eligible', but was later awarded the Hughes Medal for her research.  Although agnostic, she established the Jewish League for Women's Suffrage, in 1912. ",
64,,Aldous,Huxley,1894-1963,16 Bracknell Gardens,Hampstead,51.5542,-0.188218,Science & Engineering,Arts,Science,Writer,Leonard Huxley (1860-1933) Julian Huxley (1887-1975) Aldous Huxley (1894-1963) Men of Science and Letters lived here,http://en.wikipedia.org/wiki/Aldous_Huxley,"Aldous Huxley was a writer whose best known for his novel 'Brave New World'. Written in 1931, it describes a dystopian and terrifying future world. Huxley was reacting to the rapid changes in society, as a result of the industrial revolution, and to key world events such as the Russian Revolution and WW1. It is considered one of the greatest and influential novels of the 20th century.  He was from the great Huxley family, and here lived here with his father Leonard (son of Thomas Henry Huxley, known as 'Darwins Bulldog'), and his brother Sir Julian Huxley, an evolutionary biologist.",
65,Sir,William,Ramsay,1852-1916,12 Arundel Gardens,Notting Hill,51.5139,-0.205393,Science & Engineering,,Chemist,,SirWilliam Ramsay (1852-1916) Chemist Discoverer of the Noble Gases lived here 1887-1902,http://en.wikipedia.org/wiki/William_Ramsay,"Sir William Ramsay was a Scottish chemist who was the most famous scientist of his time. Ramsay's main achievement was the discovery, and subsequent research into, the group of chemical elements known as the 'noble gases'. These include neon, helium, krypton, and they all have many important industrial, medical, and scientific applications. In 1904, Ramsay became the first British recipient of the Nobel Prize for chemistry, in recognition of his unique achievements. He was immensely popular with both students and colleagues, and was nicknamed 'the Chief'.  ",
66,Sir,William,Crookes,1832-1919,7 Kensington Park Gardens,Notting Hill,51.51145,-0.20256,Science & Engineering,,Scientist,,Sir William Crookes (1832-1919) Scientist lived here from 1880 until his death ,http://en.wikipedia.org/wiki/Sir_William_Crookes,"Sir William Crookes was a pioneering British chemist and scientific journalist. Having attended the Royal College of Chemistry in London from 1850 to 1854, Crookes went on to make several notable discoveries and inventions; most famously the element 'thallium' and also a type of vacuum, named the 'Crookes tube', which would prove instrumental in the discovery of X-rays. Crookes was a brilliant experimentalist and his eclectic interests made him a well-known personality in Victorian Britain, and he received many public and academic honours. His house at 7 Kensington Park Gardens was the first home in England to be lit by electricity.",
67,,Chaim,Weizmann,1874-1952,67 Addison Road,Holland Park,51.5003,-0.208006,Science & Engineering,Politics,Scientist,Statesman,Chaim Weizmann (1874-1952) Scientist and Statesman First President of the State of Israel lived here,http://en.wikipedia.org/wiki/Chaim_Weizmann,"Chaim Weizmann (1874-1952) was a scientist and politician. Weizmann trained as a chemist in mainland Europe and after moving to the UK, was credited with developing a method to produce acetone from maize, which was needed for the production of artillery shells during WWI. However, he is most famous for becoming the first president of the state of Israel in 1949, having been integral to its creation as a Zionist leader. It was in London that Weizmann was successful in securing the Balfour Declaration of 1917 in which the British government supported the creation of a Zionist state in Palestine. ",
68,Sir,Norman,Lockyer,1836-1920,16 Penywern Road,Earls Court,51.4911,-0.193222,Science & Engineering,,Astronomer,Physicist,"Sir Norman Lockyer (1836-1920) Astronomer, Physicist and Founder of Nature lived here 1876-1920",http://en.wikipedia.org/wiki/Norman_Lockyer,"Norman Lockyer was an English scientist and astronomer who is most famous for discovering the element helium. In the 1860s, he became interested in electromagnetic spectroscopy, the study of the interaction between matter and radiated energy, leading him to observe an unknown element emitted from the sun.  'Helium' is from the Greek word 'Helios' meaning sun. As well as his astronomical work, Lockyer also founded the journal 'Nature' in 1869, to facilitate sharing of ideas between scientists, and it is still published today.",
69,Sir,Charles,Barry,1795-1860,"The Elms, 29-32 Clapham Common North Side",Clapham Common,51.4620561,-0.145720392,Science & Engineering,,Architect,,Sir Charles Barry (1795-1860) Architect lived and died here ,http://en.wikipedia.org/wiki/Sir_Charles_Barry,"Sir Charles Barry was one of the most famous architects of the 19th century, and is best known for his role in the rebuilding the Houses of Parliament, also known as the Palace of Westminster, after the original was destroyed by fire in 1834. Barry's design for the building was distinctly Gothic, which reflected the Victorian fashions of the time. A landmark building, it incorporates a great clock tower that is commonly known as 'Big Ben', although this is the name for the huge bell housed inside. Barry also designed the Manchester Art Gallery, and remodelled Trafalgar Square in 1845; he was knighted in 1852, marking the completion of the Palace of Westminster. ",
70,,John Francis ,Bentley,1839-1902,43 Old Town,Clapham,51.4641,-0.141177,Science & Engineering,,Architect,,John Francis Bentley (1839-1902) Architect lived here ,http://en.wikipedia.org/wiki/John_Francis_Bentley,"John Francis Bentley was an English architect, most famous for designing Westminster Cathedral in 1894. Bentley's design for the new Roman Catholic cathedral was heavily influenced by the Byzantine style of architecture that enjoyed a revival in the 19th century. His design was inspired by Italian cathedrals such as St Mark's Basilica in Venice, which he visited in 1894. The design and construction of the cathedral was warmly received, and praised for its simplicity of decoration and its immense scale.",
71,,Lancelot 'Capability',Brown,1716-1783,"Wilderness House, Hampton Court Palace",Hampton Court,51.40633,-0.33833,Science & Engineering,,Architect,,Lancelot 'Capability' Brown (1716-1783) Landscape Architect lived here 1764-1783,http://en.wikipedia.org/wiki/Capability_Brown,"Lancelot 'Capability' Brown was a pioneering landscape architect. He is today regarded as 'England's greatest gardener'. Brown began his career at Stowe, Buckinghamshire, under William Kent, one of the founders of the new English style of landscape garden. As a leading proponent of this style, families all over the country quickly sought after Brown. He was famously coined 'Capability' because he would often tell his clients that their estates had great 'capability' for improvement. It is estimated that Brown worked on over 170 gardens, and in 1764 he was appointed master gardener at Hampton Court Palace. ",
72,,Bert,Hardy,1913-1995,"The Priory, 113 Webber Street",Borough,51.500852,-0.103557,Arts,,Photographer,,Bert Hardy (1913-1995) Photographer Born and grew up in The Priory 'The man behind the camera',http://en.wikipedia.org/wiki/Bert_Hardy,"Bert Hardy was a documentary photographer known for his pioneering work for the liberal Picture Post magazine between 1941 and 1957. From humble working class origins in south London, Hardy had his first success when he photographed King George V and Queen Mary in a passing carriage and sold 200 prints of the best shot of the king. His first camera was a Leica 35mm, then an unconventional choice for photographers, but true to his belief that an expensive camera wasn't required for good pictures. He documented much of WWII, including the D-Day landings in 1944, and was one of the first photographers to enter the liberated Bergen-Belsen concentration camp. Hardy is one of the most significant photographers of twentieth century Britain and in the history of press photography.",
73,,Colen,Campbell ,1676-1729,76 Brook Street,Mayfair,51.5125,-0.149179,Science & Engineering,,Architect,,Colen Campbell (1676-1729) Architect lived and died here,http://en.wikipedia.org/wiki/Colen_Campbell,"Colen Campbell was a Scottish architect who is credited with founding the Georgian style of architecture. Initially training as a lawyer in Edinburgh, Campbell decided to move to London to become an architect. His highly influential publication 'Vitruvius Britannicus' (a catalogue of engravings of buildings by the likes of Inigo Jones and Sir Christopher Wren) popularised the neo-Palladian style that dominated early 18th century architecture in Britain and America. Campbell worked on such noted buildings as the Royal Academy in London, Stourhead in Wiltshire and his own London home, 76 Brook Street, in this new 'Georgian' style.",
74,,William Richard,Lethaby,1857-1931,"Central School of Arts and Crafts, Southampton Row",Holborn,51.51863,0.12083,Science & Engineering,,Architect,,William Richard Lethaby (1857-1931) Architect and first principal of this school in 1896-1911,http://en.wikipedia.org/wiki/William_Richard_Lethaby,"William Richard Lethaby was an English architect and architectural historian whose ideas were highly influential on the late Arts and Crafts and early Modern movements in architecture, and also in the fields of conservation and art education. Born in Barnstaple, Lethaby was the son of a carver and gilder. He studied at the local art school and in architects' offices in Barnstaple and Derby, winning the Royal Institute of British Architects' Sloane Medallion in 1879, and the Pugin Studentship 1881. In London Lethaby founded the Central School of Arts and Crafts, now known as Central St. Martins, which is today considered to be one of the foremost institutes of the arts. ",
75,,Frank,Matcham,1854-1920,10 Haslemere Road,Crouch End,51.57519,-0.12477,Science & Engineering,Arts,Architect,Theatre,Frank Matcham (1854-1920) Theatre Architect lived here 1895-1904,http://en.wikipedia.org/wiki/Frank_Matcham,"Frank Matcham was a pioneering English architect who designed over 200 theatres throughout Britain between 1890-1915. In 1878 Matcham inherited the  architectural practice from where his most famous buildings were designed; these included the Hackney Empire, London Coliseum and the Victoria Palace theatre. His innovative steel cantilevers allowed balconies to be built without pillars, thereby improving sight lines for the audience, so making these buildings extremely popular with the theatre-going public.",
76,Sir,Edwin,Landseer Lutyens,1869-1944,13 Mansfield Street,Marylebone,51.5193,-0.146102,Science & Engineering,,Architect,,Here lived and died John Loughborough Pearson (1817-1897) and later Sir Edwin Landseer Lutyens (1869-1944) Architects,http://en.wikipedia.org/wiki/Edwin_Lutyens,"Sir Edwin Landseer Lutyens was a pioneering English architect and designer. Through a long industrious career Lutyens contributed much to the architecture of the British nation and Commonwealth and is often referred to as 'the greatest English architect of all time'. He studied at what is now the Royal College of Art before starting his own practice in 1885. One of his most notable and famous designs is the Cenotaph in Whitehall. Lutyens was also commissioned to design New Delhi in India which was chosen to replace the seat of the British Indian government in 1912, and is today known as 'Lutyens Delhi'. This house was formerly also the residence of John Loughborough Peterson who was one of the foremost Gothic Revivalist architects of the late-Victorian era. ",
77,,William ,Morris,1834-1896,Red House Lane,Bexleyheath,51.4556,0.130278,Arts,,Poet,Artist,"Red House built in 1859-1860 by Philip Webb (1831-1915), architect for William Morris (1834-1896) poet and artist who lived here 1860-1864",http://en.wikipedia.org/wiki/William_Morris,"William Morris was an artist, writer, textile designer and utopian socialist. He was a key member of the influential Arts and Crafts Movement, and was closely associated with the Pre-Raphaelite Brotherhood of artists. He founded several companies dedicated to the production of decorative arts using traditional craft techniques; best known of these are Morris & Co. and the Kelmscott Press. Morris was also a writer of poetry, fiction and translations of ancient and medieval texts, and was a direct influence on J.R.R. Tolkien, who named some of his key characters after those in Morris's books. He lived at the Red House in Bexleyheath, which was designed by his friend Philip Webb, and is considered to be one of the most important buildings in the history of architecture. ",
78,Sir,Giles Gilbert,Scott,1880-1960,"Chester House, Clarendon Place",Paddington,51.513,-0.168991,Science & Engineering,,Architect,,Sir Giles Gilbert Scott (1880-1960) Architect designed this house and lived here 1926-1960 ,http://en.wikipedia.org/wiki/Sir_Giles_Gilbert_Scott,"Sir Giles Gilbert Scott was an English architect, responsible for some of 20th century Britain's most iconic and famous buildings. His first major commission was the design of the Liverpool Anglican Cathedral when he was 21 years old; the project would last his lifetime. Scott also designed Battersea Power Station, which was completed in 1933. As well as significant work in architecture, he was also responsible for the design of the iconic red telephone box. Designed for the General Post Office after winning a competition, Scott's 'Kiosk No. 2' was notable for its unique domed roof and bright red finish, and was installed in every town and village in the country. Scott designed and lived in his house in Paddington from 1926 until his death in 1960. ",
